name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.60.0,10,1000,9900,10000,0,2,1,1,8.19,6,0.036,99,103.407,,2026-07-25,64,125.29GB,5,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,10,1000,9900,10000,1,2,1,1,9.24,2,0.008,99,103.448,,2026-07-25,64,125.29GB,90000,0,,,
gobgp,gobgp,4.3.0,10,1000,9900,10000,1,3,1,2,10.32,139,0.039,97,103.409,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (a9c75414e288) on Linux(6.17.0-35-generic).,10,1000,9900,10000,1,3,2,1,10.27,5,0.027,99,103.422,,2026-07-25,64,125.29GB,0,0,,,
rustbgpd,rustbgpd,rustbgpd 0.60.0,30,1000,29700,30000,0,3,1,2,9.79,24,0.128,97,103.26,,2026-07-25,64,125.29GB,13,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,30,1000,29700,30000,1,3,1,2,10.87,15,0.011,97,103.4,,2026-07-25,64,125.29GB,902620,0,,,
gobgp,gobgp,4.3.0,30,1000,29700,30000,1,4,1,3,11.91,957,0.066,79,103.349,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (45457639f503) on Linux(6.17.0-35-generic).,30,1000,29700,30000,0,4,3,1,10.83,11,0.05,99,103.343,,2026-07-25,64,125.29GB,0,0,,,
rustbgpd,rustbgpd,rustbgpd 0.60.0,100,1000,99000,100000,0,3,1,2,11.76,122,0.207,95,102.902,,2026-07-25,64,125.29GB,23,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,100,1000,99000,100000,9,5,1,4,24.51,101,0.032,86,103.215,,2026-07-25,64,125.29GB,11048168,0,,,
gobgp,gobgp,4.3.0,100,1000,99000,100000,0,20,1,19,28.53,1281,0.194,72,103.029,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (38dff1be3b41) on Linux(6.17.0-35-generic).,100,1000,99000,100000,1,7,5,2,17.05,71,0.132,96,103.071,,2026-07-25,64,125.29GB,0,0,,,
