name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.60.0,2,100000,198000,200000,0,3,1,2,12.45,40,0.209,93,102.91,,2026-07-25,64,125.29GB,0,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,2,100000,198000,200000,1,3,1,2,13.22,6,0.028,93,103.02,,2026-07-25,64,125.29GB,200000,0,,,
gobgp,gobgp,4.3.0,2,100000,198000,200000,1,6,1,5,16.49,565,0.198,85,102.857,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (1d4bbf35afd5) on Linux(6.17.0-35-generic).,2,100000,198000,200000,0,4,2,2,13.39,93,0.221,95,102.908,,2026-07-25,64,125.29GB,0,0,,,
