name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.60.0,2,10000,19800,20000,0,2,1,1,8.28,7,0.047,99,103.444,,2026-07-25,64,125.29GB,2,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,2,10000,19800,20000,1,2,1,1,9.24,1,0.008,99,103.432,,2026-07-25,64,125.29GB,20000,0,,,
gobgp,gobgp,4.3.0,2,10000,19800,20000,1,3,1,2,10.34,83,0.044,97,103.419,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (6ffebaefba0b) on Linux(6.17.0-35-generic).,2,10000,19800,20000,0,3,2,1,9.31,5,0.036,99,103.42,,2026-07-25,64,125.29GB,0,0,,,
