name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.60.0,10,1000,9900,10000,0,2,1,1,8.23,7,0.036,99,103.479,,2026-07-25,64,125.29GB,4,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,10,1000,9900,10000,1,2,1,1,9.22,3,0.008,99,103.534,,2026-07-25,64,125.29GB,90000,0,,,
gobgp,gobgp,4.3.0,10,1000,9900,10000,1,3,1,2,10.34,118,0.037,97,103.471,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (08c637794a30) on Linux(6.17.0-35-generic).,10,1000,9900,10000,1,3,1,2,10.27,3,0.027,99,103.466,,2026-07-25,64,125.29GB,0,0,,,
rustbgpd,rustbgpd,rustbgpd 0.60.0,30,1000,29700,30000,0,3,1,2,9.83,18,0.084,99,103.309,,2026-07-25,64,125.29GB,18,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,30,1000,29700,30000,1,3,1,2,10.91,11,0.011,98,103.399,,2026-07-25,64,125.29GB,916911,0,,,
gobgp,gobgp,4.3.0,30,1000,29700,30000,1,4,1,3,11.84,897,0.067,81,103.356,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (b93eafc84623) on Linux(6.17.0-35-generic).,30,1000,29700,30000,1,3,2,1,10.85,11,0.05,98,103.396,,2026-07-25,64,125.29GB,0,0,,,
rustbgpd,rustbgpd,rustbgpd 0.60.0,100,1000,99000,100000,0,3,1,2,11.81,120,0.176,95,103.004,,2026-07-25,64,125.29GB,20,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,100,1000,99000,100000,0,5,1,4,15.22,100,0.033,87,103.24,,2026-07-25,64,125.29GB,10854654,0,,,
gobgp,gobgp,4.3.0,100,1000,99000,100000,0,20,1,19,28.5,1278,0.189,71,103.054,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (f89f2434b6ba) on Linux(6.17.0-35-generic).,100,1000,99000,100000,0,7,6,1,16.01,68,0.131,96,103.067,,2026-07-25,64,125.29GB,0,0,,,
