phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1925278.05	2026-07-26T19:39:33Z	0.33	64/64	none	111205256	1048576	0	0	1
postbuild	1925583.79	2026-07-26T19:44:39Z	1.15	64/64	none	110820288	1048576	0	0	1
