phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1849775.54	2026-07-25T22:41:11Z	0.98	64/64	none	108925684	1048576	0	0	1
postbuild	1849777.92	2026-07-25T22:41:13Z	0.99	64/64	none	108921152	1048576	0	0	1
