epoch_s,prefix,latency_ms,exit
1789061865.062206250,20.0.0.0/24,8.6,0
1789061865.072862772,3001::/48,8.1,0
1789061865.334272214,20.0.0.0/24,8.0,0
1789061865.344724650,3001::/48,7.9,0
1789061865.606088103,20.0.0.0/24,7.7,0
1789061865.616231786,3001::/48,7.6,0
1789061865.877188970,20.0.0.0/24,9.4,0
1789061865.888861515,3001::/48,10.7,0
1789061866.153262641,20.0.0.0/24,12.2,0
1789061866.167646700,3001::/48,10.8,0
1789061866.431891060,20.0.0.0/24,10.0,0
1789061866.444267210,3001::/48,12.2,0
1789061866.709819380,20.0.0.0/24,10.5,0
1789061866.722930041,3001::/48,10.0,0
1789061866.986780481,20.0.0.0/24,9.0,0
1789061866.998817963,3001::/48,11.8,0
1789061867.264253760,20.0.0.0/24,11.4,0
1789061867.278617448,3001::/48,9.9,0
1789061867.541946397,20.0.0.0/24,12.3,0
1789061867.556716254,3001::/48,14.3,0
1789061867.824603445,20.0.0.0/24,15.9,0
1789061867.843035291,3001::/48,15.4,0
1789061868.112209911,20.0.0.0/24,13.1,0
1789061868.127853257,3001::/48,15.3,0
1789061868.396863331,20.0.0.0/24,16.0,0
1789061868.415973724,3001::/48,15.8,0
1789061868.685832510,20.0.0.0/24,12.3,0
1789061868.701165581,3001::/48,16.9,0
1789061868.971580019,20.0.0.0/24,13.2,0
1789061868.987498989,3001::/48,13.7,0
1789061869.254840452,20.0.0.0/24,16.5,0
1789061869.273691756,3001::/48,16.8,0
1789061869.544198473,20.0.0.0/24,16.7,0
1789061869.563915285,3001::/48,12.8,0
1789061869.830413363,20.0.0.0/24,16.6,0
1789061869.850010486,3001::/48,15.5,0
1789061870.119262052,20.0.0.0/24,14.5,0
1789061870.136559747,3001::/48,13.7,0
1789061870.404422552,20.0.0.0/24,18.2,0
1789061870.425087034,3001::/48,15.3,0
1789061870.694061044,20.0.0.0/24,15.2,0
1789061870.711964497,3001::/48,16.3,0
1789061870.982270984,20.0.0.0/24,17.8,0
1789061871.002719373,3001::/48,14.4,0
1789061871.270837219,20.0.0.0/24,18.1,0
1789061871.292090634,3001::/48,16.5,0
1789061871.561662009,20.0.0.0/24,14.6,0
1789061871.578771203,3001::/48,14.3,0
1789061871.846698273,20.0.0.0/24,15.5,0
1789061871.865056869,3001::/48,13.7,0
1789061872.132085914,20.0.0.0/24,14.9,0
1789061872.149407516,3001::/48,15.4,0
1789061872.419019722,20.0.0.0/24,13.1,0
1789061872.434500334,3001::/48,16.1,0
1789061872.704170999,20.0.0.0/24,13.1,0
1789061872.719664921,3001::/48,14.0,0
1789061872.987042758,20.0.0.0/24,13.5,0
1789061873.003615978,3001::/48,12.7,0
1789061873.270214468,20.0.0.0/24,12.8,0
1789061873.286245095,3001::/48,15.8,0
1789061873.555656891,20.0.0.0/24,12.9,0
1789061873.571279576,3001::/48,13.2,0
1789061873.838190474,20.0.0.0/24,12.7,0
1789061873.853323375,3001::/48,15.9,0
1789061874.122524876,20.0.0.0/24,13.2,0
1789061874.139035613,3001::/48,13.9,0
1789061874.406723585,20.0.0.0/24,13.5,0
1789061874.422991738,3001::/48,15.4,0
1789061874.692027520,20.0.0.0/24,13.5,0
1789061874.708216074,3001::/48,16.8,0
1789061874.978777814,20.0.0.0/24,15.3,0
1789061874.996647697,3001::/48,15.3,0
1789061875.265302309,20.0.0.0/24,14.9,0
1789061875.283048897,3001::/48,15.4,0
1789061875.552305511,20.0.0.0/24,15.0,0
1789061875.570015615,3001::/48,12.8,0
1789061875.836577420,20.0.0.0/24,13.7,0
1789061875.853341686,3001::/48,13.7,0
1789061876.120761657,20.0.0.0/24,12.9,0
1789061876.136817021,3001::/48,13.0,0
1789061876.403604263,20.0.0.0/24,15.7,0
1789061876.422171151,3001::/48,13.3,0
1789061876.689819064,20.0.0.0/24,13.9,0
1789061876.706388548,3001::/48,13.8,0
1789061876.973948739,20.0.0.0/24,13.5,0
1789061876.989911995,3001::/48,15.9,0
1789061877.259628849,20.0.0.0/24,12.7,0
1789061877.274711455,3001::/48,13.6,0
1789061877.542502942,20.0.0.0/24,12.5,0
1789061877.557894572,3001::/48,13.1,0
1789061877.824973792,20.0.0.0/24,13.6,0
1789061877.841399090,3001::/48,12.8,0
1789061878.107571201,20.0.0.0/24,12.5,0
1789061878.123198463,3001::/48,12.9,0
1789061878.389624264,20.0.0.0/24,13.1,0
1789061878.404995683,3001::/48,13.3,0
1789061878.672252459,20.0.0.0/24,12.6,0
1789061878.687387193,3001::/48,13.5,0
1789061878.954879052,20.0.0.0/24,12.7,0
1789061878.970910811,3001::/48,13.6,0
1789061879.237848259,20.0.0.0/24,13.0,0
1789061879.253996642,3001::/48,13.4,0
1789061879.521165917,20.0.0.0/24,13.0,0
1789061879.537063985,3001::/48,16.4,0
1789061879.806876552,20.0.0.0/24,13.6,0
1789061879.822957655,3001::/48,15.2,0
1789061880.091785616,20.0.0.0/24,13.3,0
1789061880.107384115,3001::/48,12.6,0
1789061880.373668825,20.0.0.0/24,14.1,0
1789061880.390155325,3001::/48,14.0,0
1789061880.657582737,20.0.0.0/24,12.8,0
1789061880.672874897,3001::/48,13.0,0
1789061880.939562711,20.0.0.0/24,13.5,0
1789061880.956139396,3001::/48,13.4,0
1789061881.222780190,20.0.0.0/24,13.5,0
1789061881.238900000,3001::/48,13.3,0
1789061881.505912110,20.0.0.0/24,13.2,0
1789061881.522270829,3001::/48,16.3,0
1789061881.792673039,20.0.0.0/24,12.9,0
1789061881.808203336,3001::/48,13.3,0
1789061882.074422868,20.0.0.0/24,12.5,0
1789061882.089788108,3001::/48,14.4,0
1789061882.357956361,20.0.0.0/24,12.8,0
1789061882.373332837,3001::/48,12.7,0
1789061882.639572139,20.0.0.0/24,14.3,0
1789061882.656935002,3001::/48,13.1,0
1789061882.923592741,20.0.0.0/24,13.4,0
1789061882.939784830,3001::/48,15.9,0
1789061883.209577778,20.0.0.0/24,12.8,0
1789061883.224838991,3001::/48,12.9,0
1789061883.490947016,20.0.0.0/24,12.6,0
1789061883.506014710,3001::/48,14.8,0
1789061883.774223233,20.0.0.0/24,13.6,0
1789061883.790597725,3001::/48,12.7,0
1789061884.056789736,20.0.0.0/24,13.4,0
1789061884.072687183,3001::/48,14.0,0
1789061884.340037490,20.0.0.0/24,13.9,0
1789061884.356532803,3001::/48,13.6,0
1789061884.623395910,20.0.0.0/24,12.5,0
1789061884.638701260,3001::/48,13.0,0
