reload,load_timestamp_epoch_us,refresh_timestamp_epoch_us,hashed,parsed,exact_reused,source_rebound,changed,failed,eligible,refreshed,skipped_not_established,refresh_failures,sessions_up,parse_errors
1,1790424468402732,1790424469282882,640,36,604,0,36,0,36,36,0,0,320,0
2,1790424491816600,1790424492713076,640,36,604,0,36,0,36,36,0,0,320,0
3,1790424514357539,1790424515256452,640,36,604,0,36,0,36,36,0,0,320,0
4,1790424536879861,1790424537762316,640,36,604,0,36,0,36,36,0,0,320,0
